11,1877,14485,49859
3,59,1581,22261
2,30,21,6
2,7,2,6
4,183,1534,9251
5,407,87,1
1,117,777,6244
7,221,2266,25664
2,535,322,1396
2,16,10,1
14,156,16,10
3,7,1,4
5,675,5700,35672
27,38,13,1
2,113,1191,14871
61,16,6,6
4,36,3,1
10,25,6,2
4,11,14,115
6,20,4,1
6,33,12,1
1,3,18,360
2,65,33,163
6,36,80,912
5,27,12,1
1,20,78,337
1,8,4,9
3,23,1,1
10,22,2,426
17,110,29,163
7,522,1536,6779
1,12,61,852
5,44,5,13
8,53,140,453
6,26,4,2
8,605,140,12
9,28,11,351
1,6,5,5
4,21,40,204
2,12,1,342
6,17,4,6
20,357,59,81
1,24,236,1968
8,35,59,423
2,3,1,369
10,12,2,1
17,30,52,894
3,168,53,5
6,17,68,421
2,49,15,55
1,230,80,2
2,27,5,2490
1,433,3248,20575
3,111,20,1
1,751,235,55
6,31,175,1898
9,191,714,3396
5,32,9,14
5,27,6,34
3,27,4,6
1,50,142,905
7,10,3,3
1,32,81,1917
3,1085,309,10
1,28,11,264
4,15,11,2
5,29,12,1
8,36,124,1190
2,4,3,382
6,26,2,0
6,68,13,1148
2,22,56,196
19,373,2440,14845
2,22,1,860
2,7,1,148
6,7,1,0
1,29,61,543
6,12,1,41
3,10,3,513
1,34,4,6
2,765,303,399
1,24,3,1
1,5,3,17
2,720,207,4
6,25,9,35
4,33,1,1
1,25,63,278
3,548,144,6
8,854,252,221
4,58,8,56
6,22,17,6
18,97,26,50
5,589,141,2
3,14,2,1
5,35,26,355
2,15,4,4
2,19,41,332
95,8436,48482,73871
7,43,2,6
19,4369,1297,194
2,21,35,179
4,526,123,99
3,12,9,84
1,23,46,117
2,23,1,3
9,26,4,17
5,21,2,1
6,74,15,2
3,11,2,1
1,10,2,1
5,32,10,2
9,10,1,2
1,13,2,2
4,12,50,387
2,965,197,88
8,873,174,17
2,4,2,3
13,94,3,6
4,12,56,255
10,106,127,741
2,23,7,2
1,3,3,4
1,38,135,1672
2,13,1,1
8,28,279,4191
5,40,2,1
4,16,3,1
2,16,4,103
23,156,454,5706
7,10,1,535
3,15,6,1
51,215,10,27
8,102,939,11273
26,2404,664,37
2,5,3,2
3,26,6,3
2,10,3,2
10,2535,624,69
5,151,37,8
6,41,8,2
6,11,9,267
2,15,1,0
1,13,1,1
1,130,31,1
7,66,6,5
15,67,7,227
4,22,2,1
1,27,13,27
1,9,10,28
6,23,117,431
3,47,204,925
3,33,4,3
7,69,2,2309
1,9,5,4
7,33,4,361
2,18,2,138
5,36,6,1
2,14,10,1
1,314,95,9
2,40,6,15
7,50,10,5
3,28,2,2
1,7,1,1
5,4,1,4
9,98,124,902
2,16,14,13
7,186,1119,7837
7,27,9,5
5,10,6,1
6,54,14,7
15,1265,327,21
5,33,8,2
2,816,223,6
2,978,248,19
3,13,3,6
1,135,29,1
11,26,1,12
1,14,2,81
5,33,3,10
3,20,2,1
3,22,3,2
2,18,1,0
4,58,35,328
8,62,52,168
5,66,12,1
3,535,255,287
4,55,12,7
3,4,1,8
1,5,3,2
3,688,187,6
3,12,5,3
2,9,3,3
1,10,2,1
3,1215,390,22
7,84,10,3
2,26,4,1
11,55,19,1
1,34,11,6
2,21,7,2
1,15,5,6
2,3,1,6
1,27,21,2
1,10,2,4
6,947,222,20
2,30,1,3
5,42,17,13
5,722,196,4
8,15,14,18
4,949,261,22
2,460,144,214
1,15,4,2
12,7,7,1
2,10,1,0
6,30,87,483
18,32,11,15
15,78,8,1
2,24,50,293
1,20,5,15
8,69,39,222
7,20,20,37
5,718,168,13
1,42,85,471
10,81,244,25011
3,7,2,13
1,34,6,6
1,253,56,10
2,22,3,5
4,40,2,13
4,24,7,2
1,16,3,3
1,12,4,6
4,6,4,2
3,37,2,1
1,13,15,5
7,47,13,8
1,89,672,3564
1,21,3,2
1,8,4,10
3,15,79,463
12,63,4,1
2,58,341,4536
8,39,10,5
1,7,3,11
1,16,5,9
4,40,1259,47054
10,98,16,4
11,86,23,8
1,222,54,11
1,12,4,1
1,44,14,2
5,51,57,278
5,704,184,49
1,347,79,5
3,312,88,6
7,19,1,10
18,45,17,3
2,28,2,2
5,14,2,1
4,16,6,1
15,106,13,1
7,46,11,1
8,33,9,20
11,85,21,7
5,13,12,49
5,40,6,1
1,36,74,341
4,44,4,6
13,51,14,1
12,26,2,7
5,55,3,11
4,511,180,10
1,441,141,17
6,30,6,4
8,22,6,10
1,208,54,3
2,599,164,18
12,28,13,197
13,9,3,52
2,21,1,2
14,1447,353,38
4,601,146,11
3,49,193,1134
2,9,1,3
2,24,6,46
3,17,5,4
2,10,11,3
17,171,50,284
4,20,1,0
4,36,9,63
5,9,1,130
9,32,24,25
2,164,48,12
5,12,2,2
7,84,271,2430
15,83,16,3
25,761,157,4
6,113,2914,47239
4,17,2,4
2,5,2,3
6,491,122,11
4,5,4,6
1,852,193,30
4,572,7357,44891
1,34,8,75
9,687,269,22
3,690,176,5
21,60,12,1
3,30,5,33
7,46,1,0
14,2410,566,24
2,15,1,0
1,20,1,0
1,10,1,0
5,284,104,105
7,15,1,0
2,12,1,0
7,1032,224,17
2,365,104,20
1,17,1,0
2,8,1,0
3,10,1,0
1,13,1,0
4,12,4,1
9,23,1,0
1,13,1,0
2,17,1,0
5,29,1,8
11,39,1,0
1,10,1,0
7,29,2,9
9,9,1,0
3,7,1,0
7,14,1,0
1,18,1,0
3,344,98,11
12,34,4,4
1,33,1,0
1,28,40,98
3,17,1,0
1,11,2,0
1,229,61,9
4,11,1,0
2,930,218,15
3,11,1,0
1,13,1,0
2,7,1,0
2,22,1,0
1,14,1,0
8,14,1,3
8,297,98,1
3,239,72,30
2,118,85,40
4,21,1,0
3,23,3,4
2,4,2,3
6,5,1,0
3,500,116,4
16,15,1,0
3,10,3,84
10,24,20,4
10,1695,352,29
1,404,104,5
1,675,146,2
4,15,1,0
3,27,1,9
4,5,1,0
2,15,5,101
19,48,6,8
1,41,132,232
2,19,2,1
21,2122,505,43
1,17,27,173
3,39,6,7
4,1376,308,19
1,274,68,7
3,18,2,1
11,1170,320,16
2,676,180,12
15,1561,325,37
1,3,23,95
19,651,140,33
11,1246,391,41
4,8,1,0
4,13,1,0
6,41,2,31
1,11,1,0
4,526,153,13
8,1327,345,21
1,39,1,0
3,13,1,0
6,800,199,23
7,1903,451,23
12,1601,482,41
2,4,3,28
3,25,7,75
1,36,8,7
1,24,19,47
3,2003,551,130
8,28,4,8
9,104,55,134
3,21,1,6
1,15,1,0
2,24,15,10
5,331,84,7
1,19,20,36
5,15,2,6
5,22,1,0
3,490,92,13
3,42,32,188
1,4,1,3
4,5,1,0
10,112,17,9
1,10,4,34
13,56,12,3
1,13,1,0
3,7,1,0
5,653,161,6
1,30,5,9
4,1607,449,25
21,43,15,2
11,104,107,496
4,25,24,75
7,452,91,27
2,399,90,10
4,25,53,361
3,1283,351,12
12,2177,528,46
2,21,1,0
1,9,2,1
10,90,13,2
1,13,11,42
10,335,76,9
26,90,29,6
1,446,120,9
10,2056,550,40
9,24,3,1
8,895,217,31
2,498,163,2
6,59,31,141
6,13,15,36
1,27,9,65
4,324,85,14
4,26,4,1
1,380,86,9
2,660,218,320
3,775,210,28
2,48,67,96
5,23,8,56
3,31,3,14
2,551,149,14
3,36,2,4
1,10,5,32
1,10,10,40
3,10,40,120
12,762,200,17
5,20,3,1
4,10,1,0
14,78,5,3
2,644,205,82
4,18,9,27
3,653,164,20
12,895,161,11
9,645,122,10
6,202,37,35
3,50,112,155
8,66,13,3
4,16,1,0
9,831,168,17
5,20,1,0
6,6,1,0
1,9,18,101
6,27,8,98
1,560,137,7
5,14,1,0
4,1252,297,18
6,404,95,30
4,650,128,41
2,27,22,81
8,16,2,16
3,16,1,0
1,14,5,9
2,7,1,0
3,1,1,61
3,59,77,132
5,8,1,0
3,25,49,324
2,669,152,41
4,807,159,12
7,878,196,19
2,7,1,0
11,54,1,9
9,124,399,582
2,1237,292,11
3,9,1,1
1,556,120,8
7,1066,267,11
3,14,10,39
4,31,8,8
1,55,188,440
6,14,9,70
13,42,6,3
1,18,2,8
5,42,8,67
5,12,3,1
1,20,45,186
10,576,173,20
5,17,1,0
2,18,1,2
4,350,66,4
5,528,147,7
7,32,4,4
3,14,2,10
3,11,62,224
2,18,1,0
4,40,14,73
4,1100,245,36
1,34,5,28
14,41,3,4
4,34,8,20
9,31,9,13
12,74,24,65
3,380,104,45
14,2066,730,63
4,20,39,58
11,29,16,39
3,987,256,6
10,1239,402,23
2,7,1,0
1,8,1,0
5,27,7,34
4,18,8,30
6,5,1,3
2,15,2,3
4,27,2,0
202,1290,213,19
1,8,1,0
2,6,1,1
5,979,274,21
3,21,42,62
4,16,19,72
3,10,6,72
3,13,14,50
4,13,9,35
4,1026,248,25
2,10,1,0
6,913,239,14
3,14,18,57
10,26,84,474
4,250,54,1
1,16,1,0
7,10,6,5
6,13,14,87
6,29,2,2
7,10,6,2
6,538,135,10
4,7,1,0
9,38,29,71
11,753,192,34
2,19,52,114
2,31,5,1
3,322,235,237
3,10,19,278
5,37,12,3
3,22,35,30
3,35,33,57
3,25,2,1
2,19,1,7
1,18,40,86
1,478,125,23
18,740,150,29
1,9,31,151
8,801,198,6
12,8,1,0
2,415,90,10
2,2100,460,22
4,26,7,17
2,31,14,11
2,11,11,20
2,34,17,44
5,29,7,8
6,905,285,24
11,86,16,9
30,2823,658,35
1,11,2,104
8,1619,465,44
7,997,205,9
13,50,18,53
1,25,1,0
2,35,22,16
1,7,8,20
5,34,44,236
8,27,7,73
13,87,22,6
6,17,13,66
3,8,3,6
1,12,1,0
1,11,5,10
2,492,121,7
6,179,43,71
2,56,121,79
4,14,4,6
1,642,159,4
3,7,20,129
7,15,8,12
1,20,1,0
7,48,29,5
4,16,1,0
1,10,1,0
2,11,1,0
3,435,94,2
1,303,66,1
1,10,11,43
1,16,5,13
21,4058,1085,94
2,10,2,4
5,36,2,2
4,41,8,2
2,21,1,0
1,15,5,27
4,34,25,63
39,5833,1401,119
3,429,126,5
1,13,6,43
2,11,1,0
4,18,1,0
1,7,2,21
16,86,6,4
1,13,1,0
3,8,1,0
2,600,124,29
6,35,86,170
4,6,1,0
8,1106,223,29
12,54,18,54
2,5,1,20
4,11,7,32
2,20,1,0
2,59,76,148
1,8,1,0
29,103,13,2
14,44,17,57
4,933,278,40
8,15,1,0
2,9,19,139
4,1052,225,31
3,355,91,5
3,13,1,0
2,219,74,3
4,11,1,0
4,11,4,1
8,16,9,33
1,6,3,4
4,35,12,12
2,8,2,5
15,57,16,1
3,10,1,0
22,70,7,1
2,8,1,0
17,83,23,56
12,44,1,1
7,31,4,1
5,33,1,0
2,362,101,4
6,12,3,1
5,13,1,0
5,24,7,51
13,1372,328,44
4,30,5,1
10,30,27,30
3,23,7,17
1,119,36,6
8,2077,482,34
3,9,1,0
2,32,1,0
2,14,1,0
5,1457,399,16
1,29,2,9
5,1179,264,35
9,1205,297,27
1,382,103,13
4,22,6,1
3,14,1,0
2,28,21,29
1,585,152,28
14,53,16,4
2,29,1,0
15,80,15,1
5,1285,373,22
4,11,1,0
1,18,2,0
3,15,12,21
1,758,178,12
4,22,5,4
7,17,1,0
9,66,13,93
4,624,216,20
4,12,1,0
4,32,7,11
3,360,89,3
2,421,129,7
1,31,39,92
3,21,1,0
2,36,67,480
1,10,1,0
4,31,7,11
8,21,1,0
1,416,105,5
1,10,1,0
2,14,1,0
2,11,1,0
2,17,1,0
8,21,2,0
5,11,1,0
10,39,6,16
3,10,1,0
4,464,88,6
1,4,3,5
2,14,1,1
3,10,1,0
2,18,3,3
3,14,3,1
1,18,1,0
3,21,1,0
5,4,1,0
2,362,79,6
4,47,29,16
4,4,2,0
11,33,1,0
2,11,1,0
2,7,1,0
3,11,1,0
2,8,1,0
3,247,44,6
4,11,1,0
2,339,108,10
6,26,2,1
