288,0.163551,1,3,18,360,33,1
289,0.295182,2,65,33,163,24,1
290,0.171209,6,36,80,912,88,16
291,0.262311,5,27,12,1,0,0
293,0.138992,1,20,78,337,18,6
295,0.458686,1,8,4,9,6,65
297,0,3,23,1,1,0,0
298,0.211581,10,22,2,426,110,87
299,0.195909,17,110,29,163,10,1
300,0.164258,7,522,1536,6779,350,32
301,0.197595,1,12,61,852,112,39
302,0.193643,5,44,5,13,0,0
305,0.196788,8,53,140,453,34,1
306,0.297472,6,26,4,2,0,0
307,0.083811,8,605,140,12,0,0
308,0.132173,9,28,11,351,79,12
310,0.10865,1,6,5,5,45,77
312,0.152849,4,21,40,204,2,1
314,0.107492,2,12,1,342,74,62
315,0.329846,6,17,4,6,0,0
316,0.223894,20,357,59,81,9,1
318,0.212302,1,24,236,1968,181,28
319,0.268457,8,35,59,423,58,6
320,0.306425,2,3,1,369,73,63
321,0.104419,10,12,2,1,7,41
322,0.104496,17,30,52,894,88,13
323,0.072276000000000007,3,168,53,5,0,0
324,0.110254,6,17,68,421,32,2
325,0.11685,2,49,15,55,5,1
326,0.154517,1,230,80,2,0,0
329,0.073553,2,27,5,2490,669,394
330,0.233194,1,433,3248,20575,1935,207
331,0.111241,3,111,20,1,0,0
332,0.147088,1,751,235,55,4,1
333,0.098431,6,31,175,1898,276,48
334,0.184431,9,191,714,3396,317,46
335,0.298245,5,32,9,14,209,15
336,0.175823,5,27,6,34,427,32
337,0.168661,3,27,4,6,0,0
339,0.138951,1,50,142,905,74,4
341,0.258019,7,10,3,3,0,0
342,0.123297,1,32,81,1917,358,46
343,0.065953,3,1085,309,10,0,0
346,0.121827,1,28,11,264,73,45
347,0.151097,4,15,11,2,1,13
348,0.148549,5,29,12,1,0,0
351,0.252786,8,36,124,1190,117,14
352,0.172284,2,4,3,382,127,27
353,0.191433,6,26,2,0,0,0
356,0.11725,6,68,13,1148,247,162
357,0.057459,2,22,56,196,23,3
358,0.106913,19,373,2440,14845,1437,171
359,0.274827,2,22,1,860,200,120
360,0.391244,2,7,1,148,36,14
361,0.371232,6,7,1,0,0,0
363,0.080416,1,29,61,543,54,16
365,0.103275,6,12,1,41,11,3
366,0.12881,3,10,3,513,129,73
369,0.153742,1,34,4,6,0,0
370,0.053664,2,765,303,399,5,1
371,0,1,24,3,1,0,0
372,0.191433,1,5,3,17,5,3
373,0.13745,2,720,207,4,0,0
374,0.146094,6,25,9,35,13,8
375,0.291818,4,33,1,1,0,0
377,0.095587,1,25,63,278,37,3
