6,68,13,1148,247,162
2,22,56,196,23,3
19,373,2440,14845,1437,171
2,22,1,860,200,120
2,7,1,148,36,14
6,7,1,0,0,0
1,29,61,543,54,16
6,12,1,41,11,3
3,10,3,513,129,73
1,34,4,6,0,0
2,765,303,399,5,1
1,24,3,1,0,0
1,5,3,17,5,3
2,720,207,4,0,0
6,25,9,35,13,8
4,33,1,1,0,0
1,25,63,278,37,3
3,548,144,6,0,0
8,854,252,221,16,1
4,58,8,56,14,11
6,22,17,6,1,10
18,97,26,50,116,378
5,589,141,2,0,0
3,14,2,1,2,4
5,35,26,355,30,6
2,15,4,4,0,0
2,19,41,332,24,7
95,8436,48482,73871,49286,13490
7,43,2,6,0,0
19,4369,1297,194,1,4
2,21,35,179,5,2
4,526,123,99,16,12
3,12,9,84,1,1
1,23,46,117,3,1
2,23,1,3,0,0
9,26,4,17,63,23
5,21,2,1,0,0
6,74,15,2,0,0
3,11,2,1,0,0
1,10,2,1,0,0
5,32,10,2,0,0
9,10,1,2,0,0
1,13,2,2,0,0
4,12,50,387,43,5
2,965,197,88,19,11
8,873,174,17,0,0
2,4,2,3,0,0
13,94,3,6,1,3
4,12,56,255,13,1
10,106,127,741,51,3
2,23,7,2,0,0
1,3,3,4,0,0
1,38,135,1672,173,17
2,13,1,1,0,0
8,28,279,4191,560,75
5,40,2,1,0,0
4,16,3,1,6,13
2,16,4,103,18,15
23,156,454,5706,667,66
7,10,1,535,112,75
3,15,6,1,0,0
51,215,10,27,18,3
8,102,939,11273,1435,139
26,2404,664,37,1,10
2,5,3,2,0,0
3,26,6,3,0,0
2,10,3,2,0,0
10,2535,624,69,2,1
5,151,37,8,0,0
6,41,8,2,0,0
6,11,9,267,69,44
2,15,1,0,0,0
1,13,1,1,2,6
1,130,31,1,0,0
7,66,6,5,0,0
15,67,7,227,56,34
4,22,2,1,0,0
1,27,13,27,3,7
1,9,10,28,9,7
6,23,117,431,54,1
3,47,204,925,76,4
3,33,4,3,32,1
7,69,2,2309,577,377
1,9,5,4,9,65
7,33,4,361,92,44
2,18,2,138,42,17
5,36,6,1,1,1
2,14,10,1,0,0
1,314,95,9,0,0
2,40,6,15,4,3
7,50,10,5,0,0
3,28,2,2,0,0
1,7,1,1,2,1
5,4,1,4,43,9
9,98,124,902,76,6
2,16,14,13,0,0
7,186,1119,7837,676,47
7,27,9,5,0,0
5,10,6,1,0,0
6,54,14,7,0,0
15,1265,327,21,0,0
5,33,8,2,1,1
2,816,223,6,0,0
2,978,248,19,0,0
3,13,3,6,0,0
1,135,29,1,0,0
11,26,1,12,1,3
1,14,2,81,21,11
5,33,3,10,2,1
3,20,2,1,0,0
3,22,3,2,0,0
2,18,1,0,0,0
4,58,35,328,6,2
8,62,52,168,5,1
5,66,12,1,0,0
3,535,255,287,25,4
4,55,12,7,0,0
3,4,1,8,8,3
1,5,3,2,0,0
3,688,187,6,0,0
3,12,5,3,0,0
2,9,3,3,0,0
1,10,2,1,0,0
3,1215,390,22,0,0
7,84,10,3,0,0
2,26,4,1,0,0
11,55,19,1,0,0
1,34,11,6,0,0
2,21,7,2,0,0
1,15,5,6,0,0
2,3,1,6,1,2
1,27,21,2,0,0
1,10,2,4,0,0
6,947,222,20,0,0
2,30,1,3,0,0
5,42,17,13,0,0
5,722,196,4,0,0
8,15,14,18,0,0
4,949,261,22,0,0
2,460,144,214,4,1
1,15,4,2,0,0
12,7,7,1,0,0
2,10,1,0,0,0
6,30,87,483,51,1
18,32,11,15,0,0
15,78,8,1,0,0
2,24,50,293,10,2
1,20,5,15,2,1
8,69,39,222,7,1
7,20,20,37,17,229
5,718,168,13,0,0
1,42,85,471,50,2
10,81,244,25011,8484,1863
3,7,2,13,0,0
